,sigma,optimizer,seed,r
406,10.0,rmsprop,4,1.0
407,10.0,cobyla,4,1.0
408,10.0,rmsprop,5,1.0
409,10.0,cobyla,5,1.0
410,10.0,rmsprop,6,1.0
411,10.0,cobyla,6,1.0
412,10.0,rmsprop,7,1.0
413,10.0,cobyla,7,1.0
414,10.0,rmsprop,8,1.0
415,10.0,cobyla,8,0.9991134487787039
416,10.0,rmsprop,9,1.0
417,10.0,cobyla,9,1.0
418,10.0,rmsprop,10,1.0
419,10.0,cobyla,10,1.0
420,10.0,rmsprop,11,1.0
421,10.0,cobyla,11,1.0
422,10.0,rmsprop,12,1.0
423,10.0,cobyla,12,1.0
424,10.0,rmsprop,13,1.0
425,10.0,cobyla,13,1.0
426,10.0,rmsprop,14,1.0
427,10.0,cobyla,14,1.0
428,10.0,rmsprop,15,1.0
429,10.0,cobyla,15,1.0
430,10.0,rmsprop,16,1.0
431,10.0,cobyla,16,0.9530881563491204
432,10.0,rmsprop,17,1.0
433,10.0,cobyla,17,1.0
434,10.0,rmsprop,18,1.0
435,10.0,cobyla,18,1.0
436,10.0,rmsprop,19,1.0
437,10.0,cobyla,19,0.8095446910409668
438,10.0,rmsprop,20,1.0
439,10.0,cobyla,20,1.0
440,10.0,rmsprop,21,1.0
441,10.0,cobyla,21,1.0
442,10.0,rmsprop,22,1.0
443,10.0,cobyla,22,1.0
444,10.0,rmsprop,23,1.0
445,10.0,cobyla,23,1.0
446,10.0,rmsprop,24,1.0
447,10.0,cobyla,24,1.0
448,10.0,rmsprop,25,1.0
449,10.0,cobyla,25,1.0
450,10.0,rmsprop,26,1.0
451,10.0,cobyla,26,1.0
452,10.0,rmsprop,27,1.0
453,10.0,cobyla,27,1.0
454,10.0,rmsprop,28,1.0
455,10.0,cobyla,28,1.0
456,10.0,rmsprop,29,1.0
457,10.0,cobyla,29,1.0
458,10.0,rmsprop,30,1.0
459,10.0,cobyla,30,1.0
460,10.0,rmsprop,31,1.0
461,10.0,cobyla,31,0.9447130678295023
462,10.0,rmsprop,32,1.0
463,10.0,cobyla,32,1.0
464,10.0,rmsprop,33,1.0
465,10.0,cobyla,33,1.0
466,10.0,rmsprop,34,1.0
467,10.0,cobyla,34,1.0
468,10.0,rmsprop,35,1.0
469,10.0,cobyla,35,1.0
470,10.0,rmsprop,36,1.0
471,10.0,cobyla,36,0.9577351867064522
472,10.0,rmsprop,37,1.0
473,10.0,cobyla,37,1.0
474,10.0,rmsprop,38,1.0
475,10.0,cobyla,38,1.0
476,10.0,rmsprop,39,1.0
477,10.0,cobyla,39,1.0
478,10.0,rmsprop,40,1.0
479,10.0,cobyla,40,1.0
480,10.0,rmsprop,41,0.9880562116680187
481,10.0,cobyla,41,0.9819415690502674
482,10.0,rmsprop,42,1.0
483,10.0,cobyla,42,1.0
484,10.0,rmsprop,43,1.0
485,10.0,cobyla,43,1.0
486,10.0,rmsprop,44,1.0
487,10.0,cobyla,44,1.0
488,10.0,rmsprop,45,1.0
489,10.0,cobyla,45,1.0
490,10.0,rmsprop,46,1.0
491,10.0,cobyla,46,0.9958627019095234
492,10.0,rmsprop,47,1.0
493,10.0,cobyla,47,1.0
494,10.0,rmsprop,48,1.0
495,10.0,cobyla,48,1.0
496,10.0,rmsprop,49,1.0
497,10.0,cobyla,49,1.0
498,10.0,rmsprop,50,1.0
499,10.0,cobyla,50,1.0
500,10.0,rmsprop,51,1.0
501,10.0,cobyla,51,1.0
502,10.0,rmsprop,52,1.0
503,10.0,cobyla,52,0.9679857367787195
504,10.0,rmsprop,53,1.0
505,10.0,cobyla,53,1.0
506,10.0,rmsprop,54,1.0
507,10.0,cobyla,54,1.0
508,10.0,rmsprop,55,1.0
509,10.0,cobyla,55,1.0
510,10.0,rmsprop,56,1.0
511,10.0,cobyla,56,1.0
512,10.0,rmsprop,57,1.0
513,10.0,cobyla,57,1.0
514,10.0,rmsprop,58,1.0
515,10.0,cobyla,58,1.0
516,10.0,rmsprop,59,1.0
517,10.0,cobyla,59,1.0
518,10.0,rmsprop,60,1.0
519,10.0,cobyla,60,1.0
520,10.0,rmsprop,61,1.0
521,10.0,cobyla,61,1.0
522,10.0,rmsprop,62,1.0
523,10.0,cobyla,62,1.0
524,10.0,rmsprop,63,1.0
525,10.0,cobyla,63,1.0
526,10.0,rmsprop,64,0.9578395020204457
527,10.0,cobyla,64,0.9578395020204457
528,10.0,rmsprop,65,1.0
529,10.0,cobyla,65,1.0
530,10.0,rmsprop,66,1.0
531,10.0,cobyla,66,1.0
532,10.0,rmsprop,67,1.0
533,10.0,cobyla,67,1.0
534,10.0,rmsprop,68,0.9544322742407158
535,10.0,cobyla,68,0.9544322742407158
536,10.0,rmsprop,69,1.0
537,10.0,cobyla,69,1.0
538,10.0,rmsprop,70,1.0
539,10.0,cobyla,70,1.0
540,10.0,rmsprop,71,1.0
541,10.0,cobyla,71,1.0
542,10.0,rmsprop,72,1.0
543,10.0,cobyla,72,0.9373420056919544
544,10.0,rmsprop,73,1.0
545,10.0,cobyla,73,1.0
546,10.0,rmsprop,74,1.0
547,10.0,cobyla,74,1.0
548,10.0,rmsprop,75,1.0
549,10.0,cobyla,75,1.0
550,10.0,rmsprop,76,1.0
551,10.0,cobyla,76,1.0
552,10.0,rmsprop,77,1.0
553,10.0,cobyla,77,0.9736276014978947
554,10.0,rmsprop,78,1.0
555,10.0,cobyla,78,1.0
556,10.0,rmsprop,79,1.0
557,10.0,cobyla,79,1.0
558,10.0,rmsprop,80,1.0
559,10.0,cobyla,80,1.0
560,10.0,rmsprop,81,1.0
561,10.0,cobyla,81,1.0
562,10.0,rmsprop,82,1.0
563,10.0,cobyla,82,1.0
564,10.0,rmsprop,83,1.0
565,10.0,cobyla,83,1.0
566,10.0,rmsprop,84,1.0
567,10.0,cobyla,84,1.0
568,10.0,rmsprop,85,1.0
569,10.0,cobyla,85,1.0
570,10.0,rmsprop,86,1.0
571,10.0,cobyla,86,1.0
572,10.0,rmsprop,87,1.0
573,10.0,cobyla,87,1.0
574,10.0,rmsprop,88,1.0
575,10.0,cobyla,88,1.0
576,10.0,rmsprop,89,1.0
577,10.0,cobyla,89,0.973916956008067
578,10.0,rmsprop,90,1.0
579,10.0,cobyla,90,1.0
